word,pos,cefr_level,frequency,category,japanese
hello,interjection,A1,50000,greeting,こんにちは
yes,interjection,A1,48000,response,はい
no,interjection,A1,47000,response,いいえ
thank,verb,A1,45000,politeness,感謝する
you,pronoun,A1,49000,pronoun,あなた
I,pronoun,A1,49500,pronoun,私
the,article,A1,50000,article,その
a,article,A1,49000,article,一つの
is,verb,A1,48000,verb,です
are,verb,A1,47000,verb,です
have,verb,A1,46000,verb,持っている
do,verb,A1,45000,verb,する
go,verb,A1,44000,verb,行く
like,verb,A1,43000,verb,好き
want,verb,A1,42000,verb,欲しい
good,adjective,A1,41000,adjective,良い
bad,adjective,A1,40000,adjective,悪い
big,adjective,A1,39000,adjective,大きい
small,adjective,A1,38000,adjective,小さい
new,adjective,A1,37000,adjective,新しい
old,adjective,A1,36000,adjective,古い
guy,noun,A2,35000,informal,やつ
guys,noun,A2,34000,informal,みんな
computer,noun,A2,33000,technology,コンピューター
personal,adjective,A2,32000,adjective,個人の
problem,noun,A2,31000,noun,問題
understand,verb,A2,30000,verb,理解する
actually,adverb,A2,29000,adverb,実際に
probably,adverb,A2,28000,adverb,たぶん
maybe,adverb,A2,27000,adverb,もしかして
turn,verb,A2,26000,verb,回す
save,verb,A2,25000,verb,保存する
move,verb,A2,24000,verb,動く
change,verb,A2,23000,verb,変える
email,noun,A2,22000,technology,メール
phone,noun,A2,21000,technology,電話
address,noun,A2,20000,noun,住所
photo,noun,A2,19000,noun,写真
picture,noun,A2,18500,noun,画像
amazing,adjective,B1,18000,adjective,素晴らしい
awesome,adjective,B1,17000,informal,すごい
definitely,adverb,B1,16000,adverb,確実に
basically,adverb,B1,15000,adverb,基本的に
obviously,adverb,B1,14000,adverb,明らかに
attention,noun,B1,13000,noun,注意
guilty,adjective,B1,12000,adjective,有罪の
accidental,adjective,B1,11000,adjective,偶然の
survive,verb,B1,10000,verb,生き残る
admit,verb,B1,9000,verb,認める
hesitation,noun,B2,8000,noun,ためらい
enthusiastic,adjective,B2,7000,adjective,熱心な
dedicated,adjective,B2,6000,adjective,献身的な
indecent,adjective,B2,5000,adjective,みだらな
insane,adjective,B2,4000,informal,やばい
ridiculous,adjective,B2,3000,adjective,ばかげた
absolutely,adverb,B2,2000,adverb,絶対に
